Model,Accuracy,F1 Score,ROC AUC
Logistic Regression,0.950880626223092,0.015384615384615385,0.807116729162831
Decision Tree,0.9123287671232877,0.15158745673324778,0.5487362043849425
Random Forest,0.9504892367906066,0.007692307692307693,0.7958498459843506
XGBoost,0.9432485322896282,0.09123938240347777,0.8040309221578573
Neural Network,0.7706457925636008,0.0,0.49136765814645555
